stimulus,rt,response,accuracy
fixation,0.50013300000137,99,0.991111111111111
603,1,99,1
fixation,0.500090299996373,99,0.977777777777778
609,1,99,0.982222222222222
fixation,1.22575289999804,99,0
604,0.278632100002142,0,0
fixation,0.500053299998399,99,0
609,1,99,0
fixation,0.50012749999587,99,0
603,1,99,0
fixation,0.500125400001707,99,0
603,1,99,0
fixation,0.500005200003216,99,0
378,1,99,0
fixation,0.500098500000604,99,0
609,1,99,0
fixation,0.890424400000484,99,0
600,0.609721799999534,1,0
fixation,0.905564300002879,99,0
600,0.594582600002468,1,0
fixation,0.500020899999072,99,0
602,1,99,0
fixation,0.500105499995698,99,0
354,1,99,0
fixation,0.50005819999933,99,0
602,1,99,0
fixation,0.500071299997217,99,0
605,1,99,0
fixation,0.500074800002039,99,0
602,1,99,0
fixation,0.500008299997717,99,0
159,1,99,0
fixation,0.500100199998997,99,0
238,1,99,0
fixation,0.868761800003995,99,0
600,0.631384699998307,1,0
fixation,0.50001290000364,99,0
173,1,99,0
fixation,0.706934800000454,99,0
600,0.793554299998505,1,0
fixation,0.889220299999579,99,0
600,0.610926900000777,1,0
fixation,0.500041400002374,99,0
605,1,99,0
fixation,0.500103900005342,99,0
606,1,99,0
fixation,0.500047599998652,99,0
609,1,99,0
fixation,0.500021500003641,99,0
605,1,99,0
fixation,0.500066599997808,99,0
604,1,99,0
fixation,0.500057599994761,99,0
607,1,99,0
fixation,0.500060500002292,99,0
605,1,99,0
fixation,0.8827450999961,99,0
600,0.617406600002141,1,0
fixation,0.500016300000425,99,0
603,1,99,0
fixation,0.500070500005677,99,0
609,1,99,0
fixation,0.500067000000854,99,0
607,1,99,0
fixation,0.500077900003816,99,0
473,1,99,0
fixation,0.500030700000934,99,0
609,1,99,0
fixation,0.500082999998995,99,0
601,1,99,0
fixation,0.820289999996021,99,0
600,0.679859299998498,1,0
fixation,0.88379160000477,99,0
600,0.616489699998056,1,0
fixation,0.50031239999953,99,0
609,1,99,0
fixation,0.500107799998659,99,0
605,1,99,0
fixation,0.500015099998564,99,0
367,1,99,0
fixation,0.500001899999916,99,0
608,1,99,0
fixation,0.500117800002045,99,0
601,1,99,0
fixation,0.500015899997379,99,0
608,1,99,0
fixation,0.50009929999942,99,0
606,1,99,0
fixation,0.50005670000246,99,0
533,1,99,0
fixation,0.500089299996034,99,0
496,1,99,0
fixation,0.500043100000767,99,0
607,1,99,0
fixation,0.500093800001196,99,0
329,1,99,0
fixation,0.50012450000213,99,0
534,1,99,0
fixation,0.500023799999326,99,0
466,1,99,0
fixation,0.500070100002631,99,0
608,1,99,0
fixation,0.901481000000786,99,0
600,0.598666099998809,1,0
fixation,0.500004000001354,99,0
194,1,99,0
fixation,0.500009299998055,99,0
601,1,99,0
fixation,0.500075500000094,99,0
607,1,99,0
fixation,0.500065399995947,99,0
432,1,99,0
fixation,0.500040900005843,99,0
603,1,99,0
fixation,0.922866000000795,99,0
600,0.577284200000577,1,0
fixation,0.500190999999177,99,0
608,1,99,0
fixation,0.500127500003146,99,0
608,1,99,0
fixation,0.852761599999212,99,0
600,0.647734799997124,1,0
fixation,0.500089799999841,99,0
604,1,99,0
fixation,0.500066399996285,99,0
602,1,99,0
fixation,0.915249999998196,99,0
600,0.585282699998061,1,0
fixation,0.500132900000608,99,0
608,1,99,0
fixation,0.500134100002469,99,0
608,1,99,0
fixation,0.500053700001445,99,0
605,1,99,0
fixation,0.500095100003819,99,0
604,1,99,0
fixation,0.50003370000195,99,0
608,1,99,0
fixation,0.500106800005597,99,0
119,1,99,0
fixation,0.500069000001531,99,0
609,1,99,0
fixation,0.500002000000677,99,0
604,1,99,0
fixation,0.500103900005342,99,0
291,1,99,0
fixation,0.500134900001285,99,0
603,1,99,0
fixation,0.841287399998691,99,0
600,0.65886209999735,1,0
fixation,0.500041999999667,99,0
609,1,99,0
fixation,0.500038299993321,99,0
604,1,99,0
fixation,0.946174700002302,99,0
600,0.553972499998054,1,0
fixation,0.500063500003307,99,0
605,1,99,0
fixation,0.500111699999252,99,0
609,1,99,0
fixation,0.500073600000178,99,0
607,1,99,0
fixation,0.500043400003051,99,0
343,1,99,0
fixation,0.500000100000761,99,0
601,1,99,0
fixation,0.943757699998969,99,0
600,0.556498899997678,1,0
fixation,0.937650900006702,99,0
600,0.562499899999239,1,0
fixation,0.500070499998401,99,0
224,1,99,0
fixation,0.500059400001192,99,0
607,1,99,0
fixation,0.5001282000012,99,0
222,1,99,0
fixation,0.977845000001253,99,0
600,0.522610799998802,1,0
fixation,0.50010370000382,99,0
602,1,99,0
fixation,0.982523300001048,99,0
600,0.5176244999966,1,0
fixation,0.50012009999773,99,0
602,1,99,0
fixation,0.500004900000931,99,0
608,1,99,0
fixation,0.500086100000772,99,0
606,1,99,0
fixation,0.500020100000256,99,0
601,1,99,0
fixation,0.500053800002206,99,0
604,1,99,0
fixation,0.912718499996117,99,0
600,0.587762700000894,1,0
fixation,0.500045499997213,99,0
601,1,99,0
fixation,0.500131200002215,99,0
606,1,99,0
fixation,0.814968200000294,99,0
600,0.685467499999504,1,0
fixation,0.500074900002801,99,0
603,1,99,0
fixation,0.500098500000604,99,0
607,1,99,0
fixation,0.500136100003147,99,0
606,1,99,0
fixation,0.50011899999663,99,0
601,1,99,0
fixation,0.500016199999664,99,0
607,1,99,0
fixation,0.890642600003048,99,0
600,0.609511700000439,1,0
fixation,0.500000699998054,99,0
604,1,99,0
fixation,0.500111499997729,99,0
603,1,99,0
fixation,0.500121200006106,99,0
607,1,99,0
fixation,0.500113699999929,99,0
121,1,99,0
fixation,0.500071000002208,99,0
334,1,99,0
fixation,0.500111199995445,99,0
146,1,99,0
fixation,0.738954299995385,99,0
600,0.761192900004971,1,0
fixation,0.500159600000188,99,0
189,1,99,0
fixation,0.825787800000398,99,0
600,0.674358900003426,1,0
fixation,0.500006700000085,99,0
601,1,99,0
fixation,0.500056199998653,99,0
604,1,99,0
fixation,0.500124900005176,99,0
606,1,99,0
fixation,0.50003889999789,99,0
607,1,99,0
fixation,0.500048300003982,99,0
606,1,99,0
fixation,0.50002079999831,99,0
606,1,99,0
fixation,0.500095099996543,99,0
135,1,99,0
fixation,0.811688900001172,99,0
600,0.688792499997362,1,0
fixation,0.500012099997548,99,0
602,1,99,0
fixation,0.500010499999917,99,0
602,1,99,0
fixation,0.500053499999922,99,0
604,1,99,0
fixation,0.704713699997228,99,0
600,0.795432600003551,1,0
fixation,0.500122999997984,99,0
602,1,99,0
fixation,0.853075799997896,99,0
600,0.647404299998016,1,0
fixation,0.500038800004404,99,0
606,1,99,0
fixation,0.500111699999252,99,0
602,1,99,0
fixation,0.500113300004159,99,0
606,1,99,0
fixation,0.500040399994759,99,0
605,1,99,0
fixation,0.50012119999883,99,0
601,1,99,0
fixation,0.500119299998914,99,0
606,1,99,0
fixation,0.500052799994592,99,0
605,1,99,0
fixation,0.500134400004754,99,0
323,1,99,0
fixation,0.500062599996454,99,0
607,1,99,0
fixation,0.500035600001866,99,0
602,1,99,0
fixation,0.836173499999859,99,0
600,0.66397539999889,1,0
fixation,0.765659999997297,99,0
600,0.734486700006528,1,0
fixation,0.500089499997557,99,0
608,1,99,0
fixation,0.500037899997551,99,0
607,1,99,0
fixation,0.500070699999924,99,0
603,1,99,0
fixation,0.500031800002034,99,0
608,1,99,0
fixation,0.500025000001187,99,0
604,1,99,0
fixation,0.500025400004233,99,0
605,1,99,0
fixation,0.500039099999412,99,0
603,1,99,0
fixation,0.500005599998985,99,0
574,1,99,0
fixation,0.500033199998143,99,0
608,1,99,0
fixation,0.500115899994853,99,0
606,1,99,0
fixation,0.730226100000436,99,0
600,0.769922599996789,1,0
fixation,0.500041499995859,99,0
289,1,99,0
fixation,0.500130500004161,99,0
601,1,99,0
fixation,0.500015500001609,99,0
469,1,99,0
fixation,0.50006779999967,99,0
393,1,99,0
fixation,0.64335459999711,99,0
600,0.85711980000633,1,0
fixation,0.500133499997901,99,0
602,1,99,0
fixation,0.50011639999866,99,0
604,1,99,0
fixation,0.50005009999586,99,0
479,1,99,0
fixation,0.952199899998959,99,0
600,0.54815210000379,1,0
fixation,0.500039300000935,99,0
415,1,99,0
fixation,0.500087899999926,99,0
602,1,99,0
fixation,0.500097199997981,99,0
606,1,99,0
fixation,0.500027199996111,99,0
603,1,99,0
fixation,0.500275600003079,99,0
267,1,99,0
fixation,0.500000400003046,99,0
604,1,99,0
fixation,0.883604400005424,99,0
600,0.616542499999923,1,0
fixation,0.500074700001278,99,0
600,1,99,0
fixation,0.500058999998146,99,0
591,1,99,0
fixation,0.500092200003564,99,0
241,1,99,0
fixation,0.879290600001696,99,0
600,0.620855599998322,1,0
fixation,0.759866000000329,99,0
600,0.740335300004517,1,0
fixation,0.500077800003055,99,0
603,1,99,0
fixation,0.500053600000683,99,0
608,1,99,0
fixation,0.500076999996963,99,0
608,1,99,0
fixation,0.500015400000848,99,0
385,1,99,0
fixation,0.50008930000331,99,0
579,1,99,0
fixation,0.800226499995915,99,0
600,0.699920700004441,1,0
fixation,0.918942500000412,99,0
600,0.581204699999944,1,0
fixation,0.500057100005506,99,0
601,1,99,0
fixation,0.500123699996038,99,0
546,1,99,0
fixation,0.500072499999078,99,0
527,1,99,0
fixation,0.500002500004484,99,0
605,1,99,0
fixation,0.500105099999928,99,0
601,1,99,0
fixation,0.500112599998829,99,0
607,1,99,0
fixation,0.50012969999807,99,0
601,1,99,0
fixation,0.500090199995611,99,0
608,1,99,0
fixation,0.500016300000425,99,0
609,1,99,0
fixation,0.500068400004238,99,0
603,1,99,0
fixation,0.50000960000034,99,0
452,1,99,0
fixation,0.500019800005248,99,0
602,1,99,0
fixation,0.500101400000858,99,0
